                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.94242,                0.51686,                 1.2534,                0.99442,                0.99635,                0.99448,                0.75976,                 0.9952,                0.38101,                 1.4516,              0.0063865,              0.0063865,              0.0063865
                     75,                0.94293,                0.51956,                 1.2492,                 0.9957,                0.99448,                0.99433,                0.76322,                0.99914,                0.37288,                 1.4623,               0.006337,               0.006337,               0.006337
                     76,                0.94502,                0.51823,                 1.2548,                0.99501,                0.99685,                0.99419,                0.75627,                0.98461,                0.38229,                 1.4576,              0.0062875,              0.0062875,              0.0062875
                     77,                0.94218,                0.53392,                 1.2566,                0.98498,                0.99212,                0.99435,                0.74815,                 1.0234,                0.39933,                 1.4809,               0.006238,               0.006238,               0.006238
                     78,                0.94137,                0.51643,                 1.2445,                0.99398,                0.99736,                0.99436,                0.76463,                 0.9852,                0.36785,                  1.442,              0.0061885,              0.0061885,              0.0061885
                     79,                0.93923,                0.50671,                 1.2499,                0.99722,                0.99813,                0.99445,                0.75527,                0.99101,                0.37374,                 1.4597,               0.006139,               0.006139,               0.006139
                     80,                0.93775,                0.51208,                 1.2551,                0.99385,                0.99744,                0.99453,                0.75489,                  1.031,                0.38673,                 1.4902,              0.0060895,              0.0060895,              0.0060895
                     81,                0.94051,                0.52134,                 1.2471,                0.99511,                0.99508,                0.99474,                0.75405,                 1.0006,                0.38825,                 1.4615,                0.00604,                0.00604,                0.00604
                     82,                0.93053,                 0.5119,                 1.2403,                0.99629,                0.99868,                0.99467,                0.75846,                0.99957,                0.37666,                 1.4583,              0.0059905,              0.0059905,              0.0059905
                     83,                0.93821,                0.51614,                 1.2544,                0.99629,                0.99733,                0.99485,                0.76283,                 1.0022,                0.37557,                  1.459,               0.005941,               0.005941,               0.005941
