                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.71739,                0.36055,                 1.1225,                0.99757,                0.99868,                0.99477,                0.78167,                0.96712,                 0.3058,                  1.491,               0.003565,               0.003565,               0.003565
                    132,                0.71406,                0.36085,                 1.1233,                0.99812,                0.99868,                0.99453,                0.78244,                0.95273,                0.29721,                 1.4717,              0.0035155,              0.0035155,              0.0035155
                    133,                0.70851,                0.35546,                 1.1215,                  0.997,                0.99868,                 0.9948,                0.78646,                0.94882,                0.29768,                 1.4752,               0.003466,               0.003466,               0.003466
                    134,                0.70223,                0.35053,                 1.1145,                 0.9976,                0.99868,                0.99467,                0.78428,                0.95769,                0.29896,                 1.4927,              0.0034165,              0.0034165,              0.0034165
                    135,                0.69748,                0.34597,                 1.1095,                0.99798,                0.99868,                0.99461,                0.78367,                0.96137,                0.30188,                 1.4943,               0.003367,               0.003367,               0.003367
                    136,                0.69623,                0.34891,                 1.1142,                0.99791,                0.99868,                0.99441,                0.78345,                0.96549,                 0.3025,                 1.4973,              0.0033175,              0.0033175,              0.0033175
                    137,                0.70364,                0.34969,                 1.1204,                0.99808,                0.99868,                0.99472,                0.78597,                0.96543,                0.29827,                  1.486,               0.003268,               0.003268,               0.003268
                    138,                0.69389,                   0.34,                 1.1104,                0.99801,                0.99868,                0.99468,                0.78934,                 0.9567,                0.29604,                 1.4861,              0.0032185,              0.0032185,              0.0032185
                    139,                0.69372,                0.34707,                 1.1114,                0.99793,                0.99868,                0.99458,                0.78889,                0.95855,                0.29419,                 1.4752,               0.003169,               0.003169,               0.003169
                    140,                0.69733,                0.34111,                 1.1034,                0.99783,                0.99868,                0.99457,                0.78666,                0.95593,                0.29992,                 1.4904,              0.0031195,              0.0031195,              0.0031195
                    141,                0.68388,                 0.3395,                 1.1005,                0.99781,                0.99868,                0.99466,                0.78394,                0.96252,                0.29859,                 1.4971,                0.00307,                0.00307,                0.00307
                    142,                0.68387,                0.34429,                 1.1037,                0.99793,                0.99868,                0.99461,                0.78397,                 0.9683,                0.29852,                 1.4864,              0.0030205,              0.0030205,              0.0030205
                    143,                0.69094,                0.34235,                 1.1098,                0.99786,                0.99868,                0.99445,                 0.7831,                0.96289,                0.29624,                  1.495,               0.002971,               0.002971,               0.002971
                    144,                0.68922,                0.34869,                 1.1054,                0.99793,                0.99868,                0.99444,                0.78269,                0.96362,                0.29717,                 1.5087,              0.0029215,              0.0029215,              0.0029215
                    145,                0.67185,                0.33078,                 1.0996,                0.99781,                0.99868,                0.99456,                0.78417,                0.95252,                0.29614,                 1.5067,               0.002872,               0.002872,               0.002872
                    146,                0.67731,                0.33353,                 1.0949,                0.99783,                0.99868,                0.99465,                0.78619,                0.95014,                0.29334,                 1.4876,              0.0028225,              0.0028225,              0.0028225
                    147,                0.68333,                0.33542,                 1.0907,                0.99772,                0.99868,                0.99457,                0.78954,                0.95233,                0.29602,                 1.4994,               0.002773,               0.002773,               0.002773
                    148,                0.68572,                0.33346,                  1.095,                0.99738,                0.99868,                0.99475,                0.78759,                0.95235,                0.29505,                 1.4925,              0.0027235,              0.0027235,              0.0027235
                    149,                 0.6775,                0.33925,                 1.1014,                0.99795,                0.99868,                0.99478,                 0.7877,                0.95398,                0.29605,                 1.4891,               0.002674,               0.002674,               0.002674
                    150,                0.65793,                0.33184,                 1.0823,                  0.998,                0.99868,                0.99469,                 0.7864,                0.95404,                0.29431,                 1.4995,              0.0026245,              0.0026245,              0.0026245
                    151,                0.67141,                0.33452,                 1.0961,                0.99815,                0.99868,                0.99458,                0.78699,                0.95123,                0.29311,                 1.4857,               0.002575,               0.002575,               0.002575
                    152,                0.66144,                0.32648,                 1.0888,                0.99816,                0.99868,                 0.9946,                0.78409,                0.95515,                0.29447,                 1.5009,              0.0025255,              0.0025255,              0.0025255
                    153,                0.67027,                0.32969,                 1.0898,                0.99817,                0.99868,                0.99464,                0.78609,                0.95657,                0.29603,                  1.498,               0.002476,               0.002476,               0.002476
                    154,                0.65901,                0.32974,                 1.0867,                0.99819,                0.99868,                0.99469,                0.78726,                0.94779,                0.29212,                 1.4875,              0.0024265,              0.0024265,              0.0024265
                    155,                0.65347,                0.32445,                 1.0837,                0.99805,                0.99868,                0.99462,                0.79042,                0.94113,                0.29478,                 1.4965,               0.002377,               0.002377,               0.002377
                    156,                0.65502,                0.32183,                 1.0853,                 0.9982,                0.99868,                0.99461,                0.78753,                0.95807,                0.29419,                  1.513,              0.0023275,              0.0023275,              0.0023275
